               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1053,            0.032219,             0.03545,             0.75743,             0.14688,             0.11893,            0.033311,            0.067485,            0.021095,            0.023367,              0.0811,              0.0021,              0.0021
                   1,            0.069523,            0.030029,            0.021805,             0.63967,             0.28149,             0.14583,            0.054204,            0.063827,            0.013556,            0.016087,            0.061087,           0.0040871,           0.0040871
                   2,            0.063712,            0.024514,            0.017777,             0.79433,             0.27981,             0.27363,             0.11697,            0.063677,            0.011413,            0.011712,            0.040857,           0.0058565,           0.0058565
                   3,            0.061187,            0.020983,             0.01367,             0.50857,             0.60024,             0.50968,             0.18716,             0.06501,           0.0097644,           0.0077591,            0.020408,            0.007408,            0.007408
                   4,            0.059275,            0.018151,           0.0097508,             0.43301,             0.72558,             0.58746,             0.24993,            0.060699,           0.0096362,           0.0056307,             0.00802,             0.00802,             0.00802
                   5,            0.054478,            0.015053,           0.0086662,             0.53616,             0.79584,             0.67353,             0.29575,            0.046408,           0.0078643,           0.0045708,             0.00802,             0.00802,             0.00802
                   6,            0.046543,            0.013582,           0.0066665,             0.63119,             0.77919,             0.74932,             0.39395,            0.041054,           0.0077798,           0.0033386,            0.007525,            0.007525,            0.007525
                   7,            0.041456,            0.012414,           0.0056361,              0.7578,             0.82082,             0.84185,             0.39175,            0.041497,           0.0074399,            0.002835,             0.00703,             0.00703,             0.00703
                   8,            0.036748,            0.011712,           0.0046527,             0.68726,             0.87096,             0.81176,             0.47251,            0.030528,            0.006052,           0.0026707,            0.006535,            0.006535,            0.006535
                   9,             0.03553,            0.011133,           0.0038346,             0.80546,             0.90096,             0.88835,              0.4939,            0.030723,           0.0059425,             0.00249,             0.00604,             0.00604,             0.00604
                  10,            0.031842,            0.010079,           0.0034988,             0.89671,             0.87766,             0.90615,             0.59423,            0.026531,           0.0056839,           0.0025094,            0.005545,            0.005545,            0.005545
                  11,            0.028622,            0.009506,           0.0029655,             0.87932,             0.88663,              0.9234,             0.62631,             0.02508,           0.0055176,           0.0023163,             0.00505,             0.00505,             0.00505
                  12,             0.02762,           0.0097056,           0.0030503,             0.89033,             0.93304,             0.90754,             0.63602,            0.022567,           0.0052781,            0.002119,            0.004555,            0.004555,            0.004555
                  13,            0.025452,           0.0091566,           0.0025211,             0.91253,             0.93054,             0.94675,             0.64451,            0.021485,           0.0051924,           0.0019966,             0.00406,             0.00406,             0.00406
                  14,            0.024695,           0.0096908,            0.002481,             0.87678,             0.95727,             0.93564,             0.68844,            0.020118,           0.0050402,           0.0017544,            0.003565,            0.003565,            0.003565
                  15,            0.022664,            0.008609,            0.002108,             0.89554,             0.95309,             0.92648,              0.6789,            0.018547,           0.0049817,            0.001711,             0.00307,             0.00307,             0.00307
                  16,            0.021274,           0.0088159,           0.0020428,             0.89388,             0.95497,             0.92193,             0.68909,            0.018383,           0.0048494,           0.0015404,            0.002575,            0.002575,            0.002575
                  17,            0.019876,            0.008498,           0.0018263,             0.89652,             0.94466,             0.93568,             0.69714,            0.017275,           0.0047841,           0.0014031,             0.00208,             0.00208,             0.00208
                  18,            0.019271,           0.0083433,           0.0016487,             0.92445,             0.93864,             0.93747,             0.71999,            0.015699,           0.0047015,           0.0012323,            0.001585,            0.001585,            0.001585
                  19,             0.01751,           0.0079699,           0.0016563,             0.92433,             0.94794,             0.95022,             0.73077,            0.015301,           0.0047069,           0.0011374,             0.00109,             0.00109,             0.00109
